,movie,year,director,watched,era,tagA,tagB,tagC,tagD,tagE,tagF,tagG,franchise,fansOf,actors,trailer,comment,rating
,Harbinger Down,2015,Alec Gillis,yes,ModernB,Monster,,,,,,,,,,,,
,Howl,2015,Paul Hyett,yes,ModernB,Monster,Werewolf,,,,,,,,"Ed Speleers, Sean Pertwee, Holly Weston, Shauna Macdonald, Elliot Cowan, Rosie Day, Calvin Dean, Duncan Preston, Ross Mullan",,,
,Jeruzalem,2015,"Doron Paz, Yoav Paz",yes,ModernB,Found,Demon,Occult,Satan,Apocalyptic,,,,,,,,
,Krampus,2015,Michael Dougherty,yes,ModernB,Demon,Christmas,Holiday,,,,,,,,,,
,Poltergeist,2015,Gil Kenan,yes,ModernB,Ghost,Supernatural,Demon,Haunted House,Remake,,,,,"Sam Rockwell, Rosemarie DeWitt, Jane Adams, Jared Harris",,,
,Re-Kill,2015,Valeri Milev,yes,ModernB,Zombie,Found,,,,,,,,,,,
,Scouts Guide to the Zombie Apocalypse,2015,Christopher Landon,yes,ModernB,Zombie,,,,,,,,,,,,
,Sinister II,2015,Ciaran Foy,yes,ModernB,Demon,Bughuul,Haunts,,,,,,,,,,
,Southbound,2015,"Roxanne Benjamin, David Bruckner, and Patrick Horvath",yes,ModernB,Anthology,,,,,,,,,,,,
,Tales of Halloween,2015,"Neil Marshall, Darren Lynn Bousman, Axelle Carolyn, Lucky McKee, Andrew Kasch, Paul Solet, John Skipp, Adam Gierasch, Jace Anderson, Mike Mendez, Ryan Schifrin, Dave Parker, Jack Dylan Grazer",yes,ModernB,Anthology,Halloween,Demon,Slasher,Ghost,Monster,Holiday,,"Trick r' Treat, VHS, Creepshow",,,,
,The Funhouse Massacre,2015,Andy Palmer,yes,ModernB,Slasher,Halloween,Holiday,,,,,,,"Robert Englund, Jere Burns, Scottie Thompson, Matt Angel, Clint Howard, Chasty Ballesteros, Courtney Gains, Candice De Visser",,,
,The Hallow,2015,Corin Hardy,yes,ModernB,Creature,Lore,,,,,,,,,,,
,The Hoarder,2015,Matt Winn,yes,ModernB,Slasher,Freaks,,,,,,,,"Mischa Barton, Robert Knepper, Emily Atack",,,
,The Human Centipede 3,2015,Tom Six,yes,ModernB,Body,Camp,,,,,,,,,,,
,The Visit,2015,M. Night Shyamalan,yes,ModernB,Found,Thriller,,,,,,,,,,,
,We Are Still Here,2015,Ted Geoghegan,yes,ModernB,Ghost,Occult,,,,,,,,,,,
,#Horror,2015,,no,ModernB,,,,,,,,,,,,,
,Always Watching: A Marble Hornets Story,2015,,no,ModernB,,,,,,,,,,,,,
,Asmodexia,2015,,no,ModernB,,,,,,,,,,,,,
,Bound to Vengeance,2015,,no,ModernB,,,,,,,,,,,,,
,Dead Rising: Watchtower,2015,,no,ModernB,,,,,,,,,,,,,
,Demonic,2015,,no,ModernB,,,,,,,,,,,,,
,Exctinction,2015,,no,ModernB,,,,,,,,,,,,,
,Green Room,2015,,no,ModernB,,,,,,,,,,,,,
,Hell House LLC,2015,,no,ModernB,,,,,,,,,,,,,
,Hidden,2015,,no,ModernB,,,,,,,,,,,,,
,Insidious: Chapter 3,2015,Leigh Whannell,no,ModernB,Ghost,Demon,Lipstick-Face,Possession,Supernatural,,,Insidious,,,,,
,Intruders,2015,,no,ModernB,,,,,,,,,,,,,
,Lavalantula,2015,,no,ModernB,,,,,,,,,,,,,
,Maggie,2015,,no,ModernB,,,,,,,,,,,,,
,Martyrs,2015,,no,ModernB,,,,,,,,,,,,,
,Most Likely to Die,2015,,no,ModernB,,,,,,,,,,,,,
,Paranormal Activity: The Ghost Dimension,2015,,no,ModernB,,,,,,,,,,,,,
,The Atticus Institute,2015,,no,ModernB,,,,,,,,,,,,,
,The Blackcoat's Daughter,2015,,no,ModernB,,,,,,,,,,,,,
,The Devils Candy,2015,,no,ModernB,,,,,,,,,,,,,
,The Final Girls,2015,,no,ModernB,,,,,,,,,,,,,
,The Gallows,2015,,no,ModernB,,,,,,,,,,,,,
,The Invitation,2015,,no,ModernB,,,,,,,,,,,,,
,The Lazarus Effect,2015,,no,ModernB,,,,,,,,,,,,,
,The Sand,2015,,no,ModernB,,,,,,,,,,,,,
,The Witch,2015,,no,ModernB,,,,,,,,,,,,,
,They Look Like People,2015,,no,ModernB,,,,,,,,,,,,,
,Don't Kill It,2016,Mike Mendez,yes,ModernB,Demon,,,,,,,,,,,,
,Found Footage 3D,2016,,yes,ModernB,Found,Ghost,,,,,,,,,,,
,Hush,2016,Mike Flanagan,yes,ModernB,Slasher,Remote,,,,,,,,,,,
,Ouija: Origin of Evil,2016,Mike Flanagan,yes,ModernB,Supernatural,Possession,,,,,,,,,,,
,Phantasm: Ravager,2016,David Hartman,yes,ModernB,Alien,Creature,Tall Man,Sci-fi,,,,,,,,,
,Siren,2016,Gregg Bishop,yes,ModernB,Demon,,,,,,,,,,,,
,Terrifier,2016,Damien Leone,yes,ModernB,Slasher,Demon,Clown,Art,,,,Terrifier,,,,,
,The Autopsy of Jane Doe,2016,André Øvredal,yes,ModernB,Mystery,Body,,Witch,,,,,,,,,
,The Conjuring 2,2016,James Wan,yes,ModernB,Ghost,Possession,Demon,Valak,Nun,,,The Conjuring Universe,,"Vera Farmiga, Patrick Wilson, Frances O'Connor, Madison Wolfe, Simon McBurney, Franka Potente",,,
,The Monster,2016,Bryan Bertino,yes,ModernB,Monster,Maternal,,,,,,,,,,,
,The Night Watchmen,2016,Miguel Ángel Jiménez,yes,ModernB,Vampire,,,,,,,,,,,,
,The Void,2016,"Steven Kostanski, Jeremy Gillespie",yes,ModernB,Hell,Occult,,Demon,,,,,,,,,
,Train To Busan,2016,Yeon Sang-ho,yes,ModernB,Zombie,,,,,,,,,,,,
,A Dark Song,2016,,watch,ModernB,,,,,,,,,,,,,
,Don't Fuck In The Woods,2016,,watch,ModernB,,,,,,,,,,,,,
,3 Dead Trick or Treaters,2016,,no,ModernB,,,,,,,,,,,,,
,Don't Breathe,2016,,no,ModernB,,,,,,,,,,,,,
,Don't Knock Twice,2016,,no,ModernB,,,,,,,,,,,,,
,It Stains The Sands Red,2016,,no,ModernB,,,,,,,,,,,,,
,Night Of Something Strange,2016,,no,ModernB,,,,,,,,,,,,,
,"Sweet, Sweet Lonely Girl",2016,,no,ModernB,,,,,,,,,,,,,
,The Barn,2016,,no,ModernB,,,,,,,,,,,,,
,The Greasy Strangler,2016,,no,ModernB,,,,,,,,,,,,,
,The Horde,2016,,no,ModernB,,,,,,,,,,,,,
,The Wailing,2016,,no,ModernB,,,,,,,,,,,,,
,The Windmill Massacre,2016,,no,ModernB,,,,,,,,,,,,,
,The Witch,2016,,no,ModernB,,,,,,,,,,,,,
,Alien: Covenant,2017,Ridley Scott,yes,ModernB,Alien,Space,Xenomorph,Facehugger,Sci-fi,,,,,,,,
,Annabelle: Creation,2017,David F. Sandberg,yes,ModernB,Ghost,Demon,Posession,Doll,Annabelle,Malthus,Valak,The Conjuring Universe,,,,,
,Boar,2017,Chris Sun,yes,ModernB,Creature,Animal,,,,,,,,,,,
,Cold Skin,2017,Xavier Gens,yes,ModernB,Creature,Mystery,,,,,,,,,,,
,Dead Shack,2017,Peter Ricq,yes,ModernB,Zombie,,,,,,,,,,,,
,Galaxy of Horrors,2017,"Antonio Padovan, Javier Chillon, Benni Diez, Marinko Spahić, Justin McConnell",yes,ModernB,Anthology,Sci-fi,,,,,,,,,,,
,It: Chapter One,2017,Andrés Muschietti,yes,ModernB,Monster,Stephen King,Clown,Pennywise,The Losers Club,Smalltown,,,,,,,
,Leatherface,2017,"Alexandre Bustillo, Julien Maury",yes,ModernB,Slasher,Leatherface,Sawyers,,,,,Texas Chainsaw Massacre,,"Stephen Dorff, Lili Taylor",,,
,Mayhem,2017,Joe Lynch,yes,ModernB,Dystopia,Violence,,,,,,,,,,,
,The Babysitter,2017,McG,yes,ModernB,Slasher,Occult,Witch,,,,,,,,,,
,The Girl With All The Gifts,2017,Colm McCarthy,yes,ModernB,Zombie,,,,,,,,,,,,
,The Mummy,2017,Alex Kurtzman,yes,ModernB,Monster,Mummy,Occult,,,,,,,,,,
,The Ritual,2017,David Bruckner,yes,ModernB,Monster,Occult,,,,,,,,,,,
,The Terror of Hallow Eve,2017,Todd Tucker,yes,ModernB,Demon,,,,,,,,,,,,
,Trench 11,2017,Leo Scherman,yes,ModernB,WW1,,,,,,,,,,,,
,Veronica,2017,,watch,ModernB,,,,,,,,,,,,,
,10/31,2017,,no,ModernB,Anthology,,,,,,,,,,,,
,A Room To Die For,2017,,no,ModernB,,,,,,,,,,,,,
,After the Lethargy,2017,,no,ModernB,,,,,,,,,,,,,
,Another Evil,2017,,no,ModernB,,,,,,,,,,,,,
,Death House,2017,,no,ModernB,,,,,,,,,,,,,
,Death on Scenic Drive,2017,,no,ModernB,,,,,,,,,,,,,
,Feral,2017,,no,ModernB,,,,,,,,,,,,,
,Ghosts of Darkness,2017,,no,ModernB,,,,,,,,,,,,,
,Happy Death Day ,2017,Christopher Landon,no,ModernB,Stunt Slasher,,,,,,,,,,,,
,Hostile,2017,,no,ModernB,,,,,,,,,,,,,
,It Came From The Desert,2017,,no,ModernB,,,,,,,,,,,,,
,Jigsaw,2017,"Michael Spierig, Peter Spierig",no,ModernB,Post Slasher,Torture,Jigsaw,Gore,,,,Saw,Cube,,,,
,Mexico BARBARO,2017,,no,ModernB,,,,,,,,,,,,,
,Ravenous,2017,,no,ModernB,,,,,,,,,,,,,
,Replace,2017,,no,ModernB,,,,,,,,,,,,,
,Terrified,2017,,no,ModernB,,,,,,,,,,,,,
,The Bar,2017,,no,ModernB,,,,,,,,,,,,,
,The Elf,2017,,no,ModernB,,,,,,,,,,,,,
,The endless,2017,,no,ModernB,,,,,,,,,,,,,
,The Inventation,2017,,no,ModernB,,,,,,,,,,,,,
,The Monster Project,2017,,no,ModernB,,,,,,,,,,,,,
,Tigers Are Not Afraid,2017,,no,ModernB,,,,,,,,,,,,,
,Victor Crowley,2017,Adam Green,no,ModernB,Slasher,Victor Crowley,Killer Redneck,Ghost,,,,Hatchet,"Friday The 13th, Halloween",,,,
,A Quiet Place,2018,John Krasinski,yes,ModernB,Creature,Dystopia,,,,,,,,,,,
,All The Creatures Were Stirring,2018,"Rebekah McKendry, David Ian McKendry",yes,ModernB,Anthology,Holiday,Christmas,,,,,,,,,,
,Annihilation,2018,Alex Garland,yes,ModernB,Alien,Invasion,Body,Possession,,,,,,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",,,
,Apostle,2018,Gareth Evans,yes,ModernB,Demon,Occult,,,,,,,,,,,
,Escape From Tomorrow,2018,Randy Moore,yes,ModernB,Psychological,,,,,,,,,,,,
,Gags the Clown,2018,Adam Krause,yes,ModernB,Slasher,Clown,Gags,Found,,,,,,,,,
,Halloween,2018,David Gordon Green,yes,ModernB,Slasher,Halloween,Michael Myers,Holiday,,,,Halloween,"Slashers, Friday the 13th, Black Christmas, Texas Chainsaw Massacre",,,,
,Hellraiser Judgement,2018,Gary J. Tunnicliffe,yes,ModernB,Hell,Demon,Torture,Cenobites,Pinhead,Lament Configuration,,Hellraiser,,,,,
,Mandy,2018,Panos Cosmatos,yes,ModernB,Occult,Violence,,,,,,,,,,,
,Murder Party,2018,Josh Turner,yes,ModernB,Slasher,Occult,,,,,,,,,,,
,Overlord,2018,Julius Avery,yes,ModernB,Zombie,WW2,Post,,,,,,,,,,
,Primal Rage,2018,Patrick Magee,yes,ModernB,Creature,Bigfoot,,,,,,,,,,,
,The Head Hunter,2018,Jordan Downey,yes,ModernB,Monster,,,,,,,,,,,,
,The Nun,2018,Corin Hardy,yes,ModernB,Ghost,Possession,Demon,Valak,,,,The Conjuring Universe,,,,,
,The Ranger,2018,Jennifer Wexler,yes,ModernB,Slasher,,,,,,,,,,,,
,The Witch In The Window,2018,Andy Mitton,yes,ModernB,Witch,Psychological,,,,,,,,,,,
,Lake Fear 3,2018,,watch,ModernB,,,,,,,,,,,,,
,Antrum: The Deadliest Movie Ever Made,2018,,no,ModernB,,,,,,,,,,,,,
,Apartment 212,2018,,no,ModernB,,,,,,,,,,,,,
,Bad Samaritan,2018,,no,ModernB,,,,,,,,,,,,,
,Blood Clots,2018,,no,ModernB,,,,,,,,,,,,,
,Extremity,2018,,no,ModernB,,,,,,,,,,,,,
,Feral,2018,,no,ModernB,,,,,,,,,,,,,
,Hereditary,2018,,no,ModernB,,,,,,,,,,,,,
,Insidious: The Last Key,2018,Adam Robitel,no,ModernB,Ghost,Demon,Lipstick-Face,Possession,Supernatural,,,Insidious,,,,,
,Minutes To Midnight,2018,,no,ModernB,,,,,,,,,,,,,
,Mutant Blast,2018,,no,ModernB,,,,,,,,,,,,,
,Nekromancer,2018,,no,ModernB,,,,,,,,,,,,,
,Rage Of The Mummy,2018,,no,ModernB,,,,,,,,,,,,,
,Ruin Me,2018,,no,ModernB,,,,,,,,,,,,,
,Soft Matter,2018,,no,ModernB,,,,,,,,,,,,,
,The Cured,2018,,no,ModernB,,,,,,,,,,,,,
,The Endless,2018,,no,ModernB,,,,,,,,,,,,,
,The Snarling,2018,,no,ModernB,,,,,,,,,,,,,
,Tragedy Girls,2018,,no,ModernB,,,,,,,,,,,,,
,Tumbbad,2018,,no,ModernB,,,,,,,,,,,,,
,We Are Not Cats,2018,,no,ModernB,,,,,,,,,,,,,
,You Might Be The Killer,2018,,no,ModernB,,,,,,,,,,,,,
,Annabelle Comes Home,2019,Gary Dauberman,yes,ModernB,Ghost,Demon,Posession,Doll,Annabelle,Malthus,Valak,The Conjuring Universe,,,,,
,Blood Quantum,2019,Jeff Barnaby,yes,ModernB,Zombie,,,,,,,,,"Michael Greyeyes, Elle-Máijá Tailfeathers, Forrest Goodluck, Kiowa Gordon, Brandon Oakes, Kawennáhere Devery Jacobs, Gary Farmer",,,
,Brightburn,2019,David Yarovesky,yes,Modern,Alien,,,,,,,,,,,,
,Child's Play,2019,Lars Klevberg,yes,ModernB,Slasher,Chucky,Doll,Remake,,,,Child's Play,"Child's Play, Dolls, Puppet Master",,,,
,Come To Daddy,2019,Ant Timpson,yes,ModernB,Thriller,,,,,,,,,,,,
,Doctor Sleep,2019,Mike Flanagan,yes,ModernB,Ghost,Creature,Stephen King,,,,,,,,,,
,It: Chapter Two,2019,Andrés Muschietti,yes,ModernB,Monster,Stephen King,Clown,Pennywise,The Losers Club,Smalltown,,,,,,,
,Killer Sofa,2019,,yes,ModernB,Supernatural,Monster,,,,,,,,,,,
,Midsommer,2019,Ari Aster,yes,ModernB,Occult,,,,,,,,,,,,
,Nightmare Cinema,2019,"Alejandro Brugués, Mick Garris, David Slade, Ryuhei Kitamura, Joe Dante",yes,ModernB,Anthology,Slasher,Body,Demon,Psychological,,,,,,,,
,Polaroid,2019,Lars Klevberg,yes,ModernB,Supernatural,,,,,,,,,,,,
,Scary Stories To Tell In The Dark,2019,André Øvredal,yes,ModernB,Anthology,Creature,,,,,,,,,,,
,The Banana Splits Movie,2019,Danishka Esterhazy,yes,ModernB,Killer Robot,Child Entertainment,,,,,,,,,,,
,The Curse of La Llorona,2019,Michael Chaves,yes,ModernB,Ghost,Demon,Possession,Supernatural,La Llorona,,,The Conjuring Universe,,,,,
,The Field Guide To Evil,2019,"Ashim Ahluwalia, Can Evrenol, Severin Fiala",yes,ModernB,Anthology,,,,,,,,,,,,
,The Mortuary Collection,2019,Ryan Spindell,yes,ModernB,Anthology,,,,,,,,,,,,
,The Shed,2019,Frank Sabatella,yes,ModernB,Monster,Vampire,,,,,,,,,,,
,The Wretched,2019,"Drew T. Pierce, Brett Pierce",yes,ModernB,Supernatural,Witch,Possession,,,,,,,,,,
,Yummy,2019,,watch,ModernB,,,,,,,,,,,,,
,13 Souls,2019,,no,ModernB,,,,,,,,,,,,,
,Ready Or Not,2019,,yes,ModernB,,,,,,,,,,,,,
,Art of The Dead,2019,,no,ModernB,,,,,,,,,,,,,
,Bonehill Road,2019,,no,ModernB,,,,,,,,,,,,,
,Itsy Bitsy,2019,,no,ModernB,,,,,,,,,,,,,
,Mermaid: Lake of The Dead,2019,,no,ModernB,,,,,,,,,,,,,
,One Cut Of The Dead,2019,,no,ModernB,,,,,,,,,,,,,
,Pet Semetary,2019,,no,ModernB,Stephen King,,,,,,,,,,,,
,The Dead Don't Die,2019,,no,ModernB,,,,,,,,,,,,,
,The Furies,2019,,no,ModernB,,,,,,,,,,,,,
,The Hole in the Ground,2019,,no,ModernB,,,,,,,,,,,,,
,The Lodge,2019,,no,ModernB,,,,,,,,,,,,,
,The Perfection,2019,,no,ModernB,,,,,,,,,,,,,
,Us,2019,,no,ModernB,,,,,,,,,,,,,
,We Summon The Darkness,2019,,no,ModernB,,,,,,,,,,,,,
,Anything for Jackson,2020,Justin G. Dyck,yes,ModernC,Demon,Hell,,Occult,,,,,,,,,
,Boys From County Hell,2020,Chris Baugh,yes,ModernC,Monster,Vampire,,,,,,,,,,,
,Caveat,2020,Damian McCarthy,yes,ModernC,Ghost,Mystery,,,,,,,,,,,
,Color Out Of Space,2020,Richard Stanley,yes,ModernC,Alien,Psychological,Lovecraftian,,,,,,,,,,
,Freaky,2020,Christopher Landon,yes,ModernC,Stunt Slasher,,,,,,,,,,,,
,PG: Psycho Goreman,2020,Steven Kostanski,yes,ModernC,Monster,Action,Comedy,,,,,,,,,,
,Scare Package,2020,"Aaron B. Koontz, Courtney Andujar, Hillary Andujar, Anthony Cousins, Emily Hagins, Chris McInroy, Noah Segan, Baron Vaughn",yes,ModernC,Anthology,Homage,,Meta,,,,,,,,,
,The Babysitter 2: Killer Queen,2020,McG,yes,ModernC,Occult,Witch,,,,,,,,,,,
,The Dark and The Wicked,2020,Bryan Bertino,yes,ModernC,Supernatural,Demon,Possession,Haunted House,,,,,,,,,
,The Grudge,2020,Nicolas Pesce,yes,ModernC,Ghost,,,,,,,,,,,,
,The Rental,2020,Dave Franco,yes,ModernC,Thriller,Slasher,,,,,,,,,,,
,The Turning,2020,Floria Sigismondi,yes,ModernC,Ghost,Psychological,,,,,,,,,,,
,Underwater,2020,William Eubank,yes,ModernC,Creature,Underwater,,,,,,,,,,,
,Viscous Fun,2020,Cody Calahan,yes,ModernC,Post Slasher,Homage,,,,,,,,,,,
,Scare Me,2020,,watch,ModernC,,,,,,,,,,,,,
,Baba Yaga,2020,,no,ModernC,,,,,,,,,,,,,
,Blood Vessels,2020,,no,ModernC,,,,,,,,,,,,,
,Ghost Stories,2020,,no,ModernC,,,,,,,,,,,,,
,Gretel and Hansel,2020,,no,ModernC,,,,,,,,,,,,,
,His House,2020,,no,ModernC,,,,,,,,,,,,,
,Lake of Death,2020,,no,ModernC,,,,,,,,,,,,,
,Possessor,2020,,no,ModernC,,,,,,,,,,,,,
,Tar,2020,,no,ModernC,,,,,,,,,,,,,
,Teddy,2020,,no,ModernC,,,,,,,,,,,,,
,The Call,2020,,no,ModernC,,,,,,,,,,,,,
,The Empty Man,2020,,no,ModernC,,,,,,,,,,,,,
,The Jack In The Box,2020,,no,ModernC,,,,,,,,,,,,,
,The Wolf of Snow Hollow,2020,,no,ModernC,,,,,,,,,,,,,
,Wrong Turn,2020,,no,ModernC,Slasher,Rednecks,,,,,,,,,,,
,A Classic Horror Story,2021,"Roberto De Feo, Paolo Strippoli",yes,ModernC,Slasher,Occult,,,,,,,,"Matilda Anna Ingrid Lutz, Yuliia Sobol, Will Merrick, Cristina Donadio",PHqyFhrb3uU?si=mTFiUOz-9puxzrNr,,
,Antlers,2021,Scott Cooper,yes,ModernC,Monster,Lore,,,,,,,,"Jeremy Thomas, Jesse Plemons, Keri Russell, Scott Haze",ng5eyOfL8qM?si=KiXxpYODRerWuJH1,,
,Army Of The Dead,2021,Zack Snyder,yes,ModernC,Zombie,Action,,,,,,,,"Ella Purnell, Dave Bautista, Matthias Schweighofer, Athena Perample",tI1JGPhYBS8?si=Pg67yl9GXGJh-Hdd,,
,Bingo Hell,2021,Gigi Saul Guerrero,yes,ModernC,Slasher,,,,,,,,,,m1DQx4Z-QPU?si=9gxenCJX4PZABZAM,,
,Blood Red Sky,2021,Peter Thorwarth,yes,ModernC,Vampire,,,,,,,,,,U8M_1eyrBtQ?si=PxV4CSNuY7-sV-Oe,,
,Fear Street: 1666,2021,Leigh Janiak,yes,ModernC,Slasher,Teen,,,,,,,,,dj3CXY8rKuY?si=Rv0aYtNLE5W1vHLv,,
,Fear Street: 1978,2021,Leigh Janiak,yes,ModernC,Slasher,Teen,,,,,,,,,Y3tHbFTUf1g?si=exgTG8QCGtNJAFUW,,
,Fear Street: 1994,2021,Leigh Janiak,yes,ModernC,Slasher,Teen,,,,,,,,,e69MvWv3ffY?si=YVD2UI6cslXMRzts,,
,Halloween Kills,2021,David Gordon Green,yes,ModernC,Slasher,Halloween,Michael Myers,Holiday,,,,Halloween,"Slashers, Friday the 13th, Black Christmas, Texas Chainsaw Massacre",,hL6R3HmQfPc?si=Lo4_cERc5bRRSH0c,,
,Jakob's Wife,2021,Travis Stevens,yes,ModernC,Vampire,,,,,,,,,,xA8ALfbP_hA?si=YhJxusIYgmSBYgE4,,
,Malignant,2021,James Wan,yes,ModernC,Homage,Slasher,,Psychological,,,,,,,Gczt0fhawDs?si=vKf6NrxvSLVW6fgQ,,
,The Black Phone,2021,Scott Derrickson,yes,ModernC,Ghost,Slasher,,,,,,,,,3eGP6im8AZA?si=6_UZS_P9zhS1W1r6,,
,The Conjuring: The Devil Made Me Do It,2021,Michael Chaves,yes,ModernC,Ghost,Possession,Demon,Isla Kastner,,,,The Conjuring Universe,,"Vera Farmiga, Patrick Wilson, Ruairi O'Connor, Sarah Catherine Hook, Julian Hilliard",,,
,The Devil Below,2021,Bradley Parker,yes,ModernC,Creature,Underground,,,,,,,,,LWLwzYXbFdo?si=hnFNLS6xfH83UWq8,,
,V/H/S/94,2021,"Simon Barrett, Timo Tjahjanto, Jennifer Reeder, Ryan Prows, Chloe Okuno",yes,ModernC,Anthology,Found,Vampire,Mad Scientist,,,,V/H/S,,,opnSln8Ue2U?si=d3xc5Hc06HDTD3Gd,,
,We Need to Do Something,2021,Sean King O'Grady,yes,ModernC,Psychological,Occult,,,,,,,,,TcmfY_ApDxU?si=TGKszpUx-yf8KZnQ,,
,Willy's Wonderland,2021,Kevin Lewis,yes,ModernC,Killer Robot,Child Entertainment,,,,,,,,,0v27rfaoB2Y?si=-U3EU53dWxiDwW9g,,
,Bloodthirsty,2021,,no,ModernC,,,,,,,,,,,,,
,Candyman,2021,Nia DaCosta,no,ModernC,Slasher,Candyman,Remake,,,,,Candyman,,,,,
,Paranormal Activity: Next of Kin,2021,,no,ModernC,,,,,,,,,,,,,
,Spiral,2021,Darren Lynn Bousman,no,ModernC,Post Slasher,Torture,Jigsaw,Gore,,,,Saw,Cube,,,,
,Barbarian,2022,Zach Cregger,yes,ModernC,Monster,,,,,,,,,"Bill Skarsgard, Georgina Campbell, Justin Long, Matthew Patrick Davis, Zach Cregger, Kate Bosworth",Dr89pmKrqkI?si=bcFjzqZnmeZ6Ghe5,,
,Cyst,2022,Tyler Russell,yes,ModernC,Body,Monster,Mad Scientist,,,,,,"The Thing, The Evil Dead, Dead Alive, Re-Animator","Eva Habermann, George Hardy, Greg Sestero",bWZuxRssLUk?si=BrMf9CISPI95Ofsx,,
,Deadstream,2022,"Joseph Winter, Vanessa Winter",yes,ModernC,Found,Ghost,Supernatural,,,,,,,,,,
,Glorious,2022,Rebekah McKendry,yes,ModernC,Monster,Lovecraftian,Ghatanothoa,,,,,,,,KxKu5bzcVUg?si=g052zxb5AWFXH1_I,,
,Halloween Ends,2022,David Gordon Green,yes,ModernC,Slasher,Halloween,Michael Myers,Holiday,,,,Halloween,"Slashers, Friday the 13th, Black Christmas, Texas Chainsaw Massacre","Jamie Lee Curtis, Rohan Campbell, Andi Matichak, James Jude Courtney",s0vtbxLa-N8?si=wtB9bI9EmbQbuNJs,,
,Hellraiser,2022,David Bruckner,yes,ModernC,Hell,Demon,Torture,Cenobites,Pinhead,Lament Configuration,Remake,Hellraiser,,"Odessa A'zion, Jamie Clayton, Brandon Flynn, Drew Starkey, Selina Lo",joWhidDl-Mw?si=EIfTvdqSBabaLLhR,,
,Jeepers Creepers Reborn,2022,Timo Vuorensola,yes,ModernC,Monster,Demon,Slasher,Creeper,,,,,,"Sydney Craven, Jarreau Benjamin, Timo Vourensola, Gary Graham, Dee Wallace",eNH2bRZ6gJw?si=P2iYQNIDRV1Q3EYI,,
,M3GAN,2022,Gerard Johnstone,yes,ModernC,Robot,Megan,,,,,,m3gan,,"Allison Williams, Violet McGraw, Ronny Chieng, Jenna Davis, Amie Donald",,,
,My Best Friend's Exorcism,2022,Damon Thomas,yes,ModernC,Demon,Possession,Exorcism,,,,,,,"Elsie Fisher, Amiah Miller, Rachel Ogechi Kanu, Cathy Ang",,,
,Pearl,2022,Ti West,yes,ModernC,Slasher,Prequel,,,,,,,,,,,
,Satanic Hispanics,2022,"Alejandro Brugués, Mike Mendez, Gigi Saul Guerrero",yes,ModernC,Anthology,Demon,Occult,,,,,,,"Efren Ramirez, Greg Grunberg, Patricia Valesquez, Hemky Madera",sHQYe5ccq08?si=afQS6WNx6S9VtX82,,
,Scream 5,2022,"Matt Bettinelli-Olpin, Tyler Gillett",yes,ModernC,Slasher,Meta,Ghostface,Sidney Prescott,,Duo,,Scream,,"Neve Campbell, David Arquette, Courteney Cox, Jenna Ortega, Melissa Barrera, Mikey Madison ",beToTslH17s?si=DkaMyr0nEE6ELw8C,,
,Smile,2022,Parker Finn,yes,ModernC,Psychological,Entity,,,,,,,,"Sosie Bacon, Naomi Scott, Kyle Gallner, Lukas Gage, Ray Nicholson",BcDK7lkzzsU?si=chU5TFqS8d6b2i0o,,
,Talk To Me,2022,"Danny Philippou, Michael Philippou",yes,ModernC,Ghost,Mystery,,,,,,,,"Sophie Wilde, Zoe Terakes, Mirando Otto, Joe Bird, Alexandra Jensen",aLAKJu9aJys?si=o5ng4hU8gJKFXafJ,,
,Terrifier 2,2022,Damien Leone,yes,ModernC,Slasher,Demon,Clown,Art,,,,Terrifier,,"David Howard Thornton, Lauren LaVera, Elliot Fullam, Casey Hartnett",6KkONLf_ZKU?si=KgWM9xnbC_DNPMJq,,
,Texas Chainsaw Massacre,2022,David Blue Garcia,yes,ModernC,Slasher,Leatherface,,,,,,Texas Chainsaw Massacre,,"Sarah Yarkin, Mark Bunham, Olwen Fouere, Elsie Fisher, Moe Dunford",zcI6SFiK_yk?si=oppBqNrs8T4GgYwR,,
,The Cursed (Eight for Silver),2022,Sean Ellis,yes,ModernC,Monster,Werewolf,,,,,,,,"Kelly Reilly, Boyd Holbrook, Amelia Crouch, Allistair Petrie",B51Cg1f-DFk?si=UB0k1MfU5dMdr0II,,
,The Loneliest Boy in the World,2022,Martin Owen,yes,ModernC,Zombie,,,,,,,,,,,,
,The Mean One,2022,Steven LaMorte,yes,ModernC,Slasher,Supernatural,Grinch,Holiday,Christmas,Public Doman,,,,"David Howard Thornton, Krystle Martin, Chase Mullins, John Bigham, Erik Baker. Flip Kobler, Amy Schumacher",,,
,The Menu,2022,Mark Mylod,yes,ModernC,Cult,Occult,,,,,,,,,Kx55Rkynhtk?si=qgsH37XCztxA5gbf,,
,The Passenger,2022,"Raúl Cerezo, Fernando González Gómez",yes,ModernC,Monster,Zombie,,,,,,,,"Paula Gallego, Cecilia Suarez, Ramiro Blas",qstLY5vYVYA?si=KB1Dnmp1Zo2iCBZN,,
